code,subject_name,category,requirement,credit,semester_offered,year_offered
L0320100,情報セキュリティ,専門科目,選択,2,1,3
L0500100,組み込みシステム,専門科目,選択,2,1,3
L0510100,音響・音声処理工学,専門科目,選択,2,2,3
L0780200,コンピュータ科学序説,専門科目,必修,2,1,1
L0987000,情報工学通論,専門科目,必修,2,2,1
L0910500,離散数学1,専門科目,必修,2,1,1
L0911300,離散数学2,専門科目,選択必修,2,2,1
L0403100,プログラミング入門1,専門科目,必修,2,1,1
L0404900,プログラミング入門2,専門科目,必修,2,2,1
L0310800,コンピュータアーキテクチャ,専門科目,必修,2,2,1
L0920400,形式言語とオートマトン,専門科目,選択,2,2,2
L0980800,数理論理学,専門科目,選択,1,1,2
L0670500,論理回路,専門科目,選択,2,2,1
L0984000,情報倫理,専門科目,選択,2,2,3
L0985700,信号処理,専門科目,選択,2,1,2
L0692900,データ構造とアルゴリズム1,専門科目,必修,2,1,2
L0694500,データ構造とアルゴリズム2,専門科目,選択必修,2,2,2
L0845300,基礎情報演習1A,専門科目,必修,2,1,2
L0846100,基礎情報演習2A,専門科目,必修,2,2,2
L0861000,基礎情報演習2B,専門科目,必修,2,2,2
L0930300,プログラミング言語論,専門科目,選択,1,2,2
L0480900,H.C.インタラクション,専門科目,選択必修,2,1,2
L0291000,コンピュータ通信,専門科目,選択,2,2,2
L0440300,人工知能,専門科目,選択,2,1,3
F0846200,セキュアネットワーク,専門科目,選択,2,1,3
L0950100,オペレーティングシステム,専門科目,選択必修,2,1,2
L0365200,ディジタルメディア処理,専門科目,選択必修,2,2,2
F0344900,光通信工学,専門科目,選択,2,1,3
F0845500,移動通信工学,専門科目,選択,2,1,3
L0366000,コンピュータビジョン,専門科目,選択,2,1,3
L0600200,マーケティング,専門科目,選択,2,2,3
L0693700,情報ネットワーク,専門科目,選択,2,1,3
L0471800,自然言語処理,専門科目,選択,2,2,3
L0981600,集積回路工学,専門科目,選択,2,1,3
L0840400,高度情報演習1A,専門科目,選択,2,1,3
L0970900,高度情報演習1B,専門科目,選択,3,1,3
L0855200,高度情報演習2B,専門科目,選択,2,2,3
L0971700,高度情報演習2B,専門科目,選択,3,2,3
L0973300,高度情報演習2C,専門科目,選択,2,2,3
L0305800,データベース,専門科目,選択,2,2,3
L0932900,情報システムプログラミング,専門科目,選択,2,2,3
F0790300,情報通信特論2,専門科目,選択,1,2,3
L0987500,基礎情報演習1B,専門科目,必修,2,1,2
L0986800,数値計算法,専門科目,選択,2,2,2
L0986600,数理計算法,専門科目,選択,1,1,3
L0987200,ソフトウェア工学,専門科目,選択,2,1,3
L0994200,Introduction to Computer Science and Engineering,専門科目,選択,2,2,1
L0991100,情報工学海外実習1,専門科目,選択,2,0,1
L0991200,情報工学海外実習2,専門科目,選択,2,0,1
L0991300,情報工学海外実習3,専門科目,選択,2,0,1
L0991400,情報工学海外実習4,専門科目,選択,2,0,1
L0994300,Engineering Mathematics,専門科目,選択,2,1,2
L0950000,Operating Systems and Exercises,専門科目,選択,2,2,2
L0994400,Foundations for Programming 言語科目s,専門科目,選択,2,2,2
L0035000,Interaction Design,専門科目,選択,2,1,3
L0405000,上級プログラミング1,専門科目,選択,2,1,3
L0405100,上級プログラミング2,専門科目,選択,2,1,3
L0967000,Accessibility of Information and Communication,専門科目,選択,2,1,3
L0968000,Seminar on ICT and Society 1,専門科目,選択,2,1,3
L0986700,データ解析法,専門科目,選択,2,1,3
L0990700,情報通信技術英語,専門科目,選択,2,1,3
L0969000,Seminar on ICT and Society 2,専門科目,選択,2,2,3
L0994000,感性情報処理,専門科目,選択,2,2,3
